City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
49,Namatanai,PG,2021-04-20 04:22:03,-3.6667,152.4333,84.85,67,98,3.24,[{'description': 'overcast clouds'}]
50,Demirci,TR,2021-04-20 04:26:39,39.0461,28.6589,43.05,88,0,2.91,[{'description': 'clear sky'}]
51,Kuytun,RU,2021-04-20 04:23:19,54.3419,101.5036,26.73,40,100,10.42,[{'description': 'overcast clouds'}]
52,Aswan,EG,2021-04-20 04:23:15,24.0934,32.907,85.41,22,91,5.66,[{'description': 'overcast clouds'}]
53,Ejura,GH,2021-04-20 04:26:40,7.3856,-1.3562,75.7,85,68,5.59,[{'description': 'broken clouds'}]
54,Lata,PT,2021-04-20 04:22:46,40.1629,-8.3327,59.0,91,90,1.01,[{'description': 'overcast clouds'}]
55,Marathon,US,2021-04-20 04:26:40,44.9,-89.7668,33.8,55,90,6.91,[{'description': 'overcast clouds'}]
56,Leh,IN,2021-04-20 04:23:11,34.1667,77.5833,33.15,36,63,3.42,[{'description': 'broken clouds'}]
57,Liverpool,GB,2021-04-20 04:26:40,53.4106,-2.9779,45.0,83,100,2.21,[{'description': 'overcast clouds'}]
58,Qaanaaq,GL,2021-04-20 04:22:32,77.484,-69.3632,-4.13,74,78,7.9,[{'description': 'broken clouds'}]
59,Severo-Kurilsk,RU,2021-04-20 04:22:18,50.6789,156.125,37.51,93,74,13.78,[{'description': 'broken clouds'}]
60,Puerto Ayacucho,VE,2021-04-20 04:26:41,5.6639,-67.6236,76.14,73,100,2.01,[{'description': 'overcast clouds'}]
61,Timra,SE,2021-04-20 04:26:41,62.487,17.3257,30.2,86,10,5.75,[{'description': 'clear sky'}]
62,Lebu,CL,2021-04-20 04:22:16,-37.6167,-73.65,57.56,94,100,10.51,[{'description': 'overcast clouds'}]
63,Hobart,AU,2021-04-20 04:20:19,-42.8794,147.3294,52.0,76,75,9.22,[{'description': 'light rain'}]
