City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Hilo,US,2021-04-14 18:49:16,19.7297,-155.09,75.2,60,75,4.61
67,Hasaki,JP,2021-04-14 18:49:17,35.7333,140.8333,44.6,65,75,11.5
68,Ketchikan,US,2021-04-14 18:49:17,55.3422,-131.6461,44.6,81,1,5.75
69,Atar,MR,2021-04-14 18:49:17,20.5169,-13.0499,95.0,15,7,11.5
70,Sao Caetano De Odivelas,BR,2021-04-14 18:49:18,-0.75,-48.02,81.77,87,100,6.31
71,Vila Franca Do Campo,PT,2021-04-14 18:49:18,37.7167,-25.4333,62.6,88,20,16.11
72,New Norfolk,AU,2021-04-14 18:49:18,-42.7826,147.0587,54.0,77,100,4.0
73,Vaini,TO,2021-04-14 18:49:19,-21.2,-175.2,64.4,94,20,1.45
74,East London,ZA,2021-04-14 18:44:53,-33.0153,27.9116,69.8,94,20,4.61
75,Miri,MY,2021-04-14 18:49:19,4.4148,114.0089,75.2,94,40,3.44
76,San Blas,MX,2021-04-14 18:49:19,21.5167,-105.2667,84.2,42,1,8.75
77,Bac Lieu,VN,2021-04-14 18:49:20,9.285,105.7244,81.45,76,50,6.02
78,Cape Town,ZA,2021-04-14 18:46:23,-33.9258,18.4232,66.0,88,0,14.97
79,Cheney,US,2021-04-14 18:49:20,47.4874,-117.5758,57.99,26,20,20.71
80,Tommot,RU,2021-04-14 18:49:20,58.9564,126.2925,9.63,96,98,2.21
81,Umm Lajj,SA,2021-04-14 18:49:21,25.0213,37.2685,75.18,49,0,7.74
82,Georgetown,MY,2021-04-14 18:49:21,5.4112,100.3354,80.6,88,20,4.61
83,Taksimo,RU,2021-04-14 18:49:21,56.3444,114.8794,16.83,77,100,2.89
84,Flinders,AU,2021-04-14 18:49:22,-34.5833,150.8552,57.0,69,40,1.01
85,Faya,SA,2021-04-14 18:49:22,18.3851,42.4509,69.8,59,20,4.61
86,Dikson,RU,2021-04-14 18:49:22,73.5069,80.5464,-16.2,100,100,3.62
87,Port-Gentil,GA,2021-04-14 18:49:22,-0.7193,8.7815,82.4,78,40,5.75
88,Sitka,US,2021-04-14 18:49:23,57.0531,-135.33,44.6,76,90,11.5
89,Clarence Town,AU,2021-04-14 18:49:23,-32.5833,151.7833,60.8,72,90,4.61
90,Seydisehir,TR,2021-04-14 18:49:23,37.4193,31.8453,47.21,82,100,4.7
91,Lasa,IT,2021-04-14 18:49:24,46.6166,10.7002,51.8,37,40,6.91
92,Upernavik,GL,2021-04-14 18:49:24,72.7868,-56.1549,-3.14,89,96,9.1
93,Kindu,CD,2021-04-14 18:49:24,-2.95,25.95,69.89,96,100,3.09
94,Kismayo,SO,2021-04-14 18:49:25,-0.3582,42.5454,82.56,76,95,13.24
95,Kodiak,US,2021-04-14 18:49:25,57.79,-152.4072,37.4,87,90,10.36
96,Astoria,US,2021-04-14 18:46:31,46.1879,-123.8313,62.6,29,1,8.05
97,Nizhniy Tsasuchey,RU,2021-04-14 18:49:26,50.5167,115.1333,34.12,39,100,11.05
98,Manyana,BW,2021-04-14 18:49:26,-23.4,21.7167,69.13,29,0,7.76
99,Palmer,US,2021-04-14 18:49:26,42.1584,-72.3287,71.01,37,20,8.05
100,Christiana,ZA,2021-04-14 18:49:26,-27.914,25.1611,73.26,26,3,5.53
101,Hambantota,LK,2021-04-14 18:49:27,6.1241,81.1185,77.0,100,40,3.44
102,Atuona,PF,2021-04-14 18:49:27,-9.8,-139.0333,80.37,80,99,20.2
103,Barrow,US,2021-04-14 18:49:27,71.2906,-156.7887,10.4,72,90,10.36
104,Tasiilaq,GL,2021-04-14 18:49:28,65.6145,-37.6368,32.0,93,90,6.91
105,Ambon,ID,2021-04-14 18:49:28,-3.6954,128.1814,77.0,94,40,4.61
106,Lermontovka,RU,2021-04-14 18:49:28,47.1453,134.3383,24.71,54,11,4.29
107,Cidreira,BR,2021-04-14 18:49:03,-30.1811,-50.2056,73.6,59,1,14.83
108,Thompson,CA,2021-04-14 18:49:29,55.7435,-97.8558,30.2,31,20,5.75
109,Khasan,RU,2021-04-14 18:49:29,42.4308,130.6434,38.26,51,0,4.21
110,Vila Velha,BR,2021-04-14 18:49:29,-20.3297,-40.2925,82.0,61,40,17.27
111,Hithadhoo,MV,2021-04-14 18:46:24,-0.6,73.0833,82.63,65,69,5.32
112,Kailua,US,2021-04-14 18:49:30,21.4022,-157.7394,73.4,64,20,10.36
113,Kolondieba,ML,2021-04-14 18:49:30,11.0882,-6.8926,92.79,28,21,1.83
114,Vieques,PR,2021-04-14 18:49:30,18.425,-65.8329,84.99,65,20,10.36
115,Zhigansk,RU,2021-04-14 18:49:31,66.7697,123.3711,16.34,92,100,7.92
116,Bilara,IN,2021-04-14 18:49:31,26.1792,73.7056,82.83,17,0,8.72
117,Talakan,RU,2021-04-14 18:49:31,50.3167,130.3667,20.59,71,5,1.25
118,Bathsheba,BB,2021-04-14 18:49:31,13.2167,-59.5167,84.2,58,40,12.66
119,Okha,RU,2021-04-14 18:49:32,53.5739,142.9478,18.66,90,100,24.27
120,Norman Wells,CA,2021-04-14 18:49:32,65.282,-126.8329,30.2,55,20,10.36
121,Canora,CA,2021-04-14 18:44:43,51.6333,-102.4343,28.4,64,90,9.22
122,Pogar,RU,2021-04-14 18:49:33,52.554,33.2591,49.93,86,100,3.27
123,Pevek,RU,2021-04-14 18:49:33,69.7008,170.3133,-13.41,95,44,4.92
124,Sao Filipe,CV,2021-04-14 18:47:47,14.8961,-24.4956,78.12,58,78,14.85
125,Bredasdorp,ZA,2021-04-14 18:46:42,-34.5322,20.0403,57.2,94,0,2.3
126,Husavik,IS,2021-04-14 18:48:10,66.0449,-17.3389,50.0,57,75,18.41
127,Da Nang,VN,2021-04-14 18:49:34,16.0678,108.2208,77.0,88,20,2.3
128,Namie,JP,2021-04-14 18:49:34,37.4833,141.0,36.0,68,0,7.85
129,Cherskiy,RU,2021-04-14 18:46:52,68.75,161.3,-9.31,90,53,3.29
130,Mindelo,CV,2021-04-14 18:49:35,16.8901,-24.9804,77.0,61,40,37.98
131,Kamaishi,JP,2021-04-14 18:49:35,39.2667,141.8833,37.45,67,2,6.06
132,Kautokeino,NO,2021-04-14 18:49:35,69.0125,23.0412,17.58,87,100,6.38
133,Bowen,AU,2021-04-14 18:49:36,-20.0167,148.2333,66.2,88,75,4.61
134,Severo-Kurilsk,RU,2021-04-14 18:49:36,50.6789,156.125,39.81,90,100,26.75
135,Port-Cartier,CA,2021-04-14 18:49:36,50.0334,-66.8654,46.4,53,1,8.05
136,Lagoa,PT,2021-04-14 18:48:00,39.05,-27.9833,61.09,88,100,11.7
137,Marsh Harbour,BS,2021-04-14 18:48:07,26.5412,-77.0636,72.41,61,2,15.73
138,Vao,NC,2021-04-14 18:49:37,-22.6667,167.4833,75.02,81,100,22.17
139,Goffstown,US,2021-04-14 18:49:37,43.0204,-71.6003,66.0,42,20,6.91
140,Pacific Grove,US,2021-04-14 18:49:37,36.6177,-121.9166,59.0,55,90,3.44
141,Srednekolymsk,RU,2021-04-14 18:49:38,67.45,153.6833,-14.6,99,45,4.23
142,Bouna,CI,2021-04-14 18:49:38,9.2667,-3.0,88.41,32,43,4.21
143,Kaitangata,NZ,2021-04-14 18:49:38,-46.2817,169.8464,48.22,93,100,3.6
144,Zheleznodorozhnyy,RU,2021-04-14 18:49:39,55.7503,38.0042,60.8,38,85,2.24
145,Bluff,NZ,2021-04-14 18:49:39,-46.6,168.3333,48.99,97,100,1.01
146,Kavaratti,IN,2021-04-14 18:49:39,10.5669,72.642,84.0,68,11,3.71
147,Margate,GB,2021-04-14 18:49:40,51.3813,1.3862,43.0,66,15,4.0
148,Kapaa,US,2021-04-14 18:49:40,22.0752,-159.319,73.4,68,20,9.22
149,Yellowknife,CA,2021-04-14 18:48:05,62.456,-114.3525,41.0,48,1,11.5
150,Broome,US,2021-04-14 18:49:41,42.2506,-75.833,64.0,51,90,6.35
151,Nome,US,2021-04-14 18:49:42,64.5011,-165.4064,28.99,93,90,1.7
152,Klaksvik,FO,2021-04-14 18:49:42,62.2266,-6.589,44.6,100,75,6.91
153,Westport,US,2021-04-14 18:48:06,41.1415,-73.3579,68.0,55,1,8.05
154,Barra Patuca,HN,2021-04-14 18:49:43,15.8,-84.2833,83.7,67,100,10.04
155,Khani,GE,2021-04-14 18:48:06,41.9563,42.9566,48.2,87,0,4.61
156,Zyryanka,RU,2021-04-14 18:49:43,65.75,150.85,-20.25,100,81,5.44
157,Umba,RU,2021-04-14 18:49:43,66.6871,34.3429,33.08,74,7,17.74
158,Assiniboia,CA,2021-04-14 18:49:44,49.6334,-105.9845,26.6,59,100,5.75
159,Caucaia,BR,2021-04-14 18:49:44,-3.7361,-38.6531,86.0,70,40,14.97
160,Lianran,CN,2021-04-14 18:49:44,24.9227,102.485,57.2,54,0,13.42
161,Beringovskiy,RU,2021-04-14 18:49:45,63.05,179.3167,0.64,93,24,5.03
162,Lexington Park,US,2021-04-14 18:49:45,38.2668,-76.4538,60.01,94,90,6.91
163,Medvedka,RU,2021-04-14 18:49:45,61.1629,46.387,55.08,76,100,11.72
164,Taketa,JP,2021-04-14 18:49:46,32.9652,131.3785,37.0,77,100,1.97
165,Te Anau,NZ,2021-04-14 18:49:46,-45.4167,167.7167,51.17,91,100,5.82
