City_ID,City,Country,Max Temp,Current Description ,Lat,Lng,Hotel Name
241,Tura,IN,84.22,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
243,Lonavale,IN,87.8,haze,18.75,73.4167,The Lagoona Resort
251,San Pedro De Macoris,DO,79.0,few clouds,18.4616,-69.2972,Apartahotel Guaraguao
252,Kahului,US,82.4,few clouds,20.8947,-156.47,Maui Seaside Hotel
254,Mirabad,AF,79.14,clear sky,30.4362,61.8383,
256,Mackay,AU,82.4,scattered clouds,-21.15,149.2,International Lodge Motel
262,Ambon,ID,89.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
265,Kudahuvadhoo,MV,82.09,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
267,Ranong,TH,86.0,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
269,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
270,Hilo,US,78.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
278,The Valley,AI,79.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
279,Kinablangan,PH,87.78,overcast clouds,7.6947,126.5503,Danny Moreno Property
280,Port Hedland,AU,89.6,clear sky,-20.3167,118.5667,The Esplanade Hotel
283,Paracuru,BR,75.99,moderate rain,-3.41,-39.0306,Hotel Vento Brasil
292,Tuyen Quang,VN,83.8,overcast clouds,21.8233,105.2181,Khách Sạn Tuyên Thoa
294,Kaduqli,SD,81.66,overcast clouds,11.0167,29.7167,فندق الله جابو
299,Dingle,PH,89.55,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
303,Santa Cruz Del Sur,CU,78.84,clear sky,20.7147,-77.9956,
308,Meulaboh,ID,84.45,overcast clouds,4.1363,96.1285,Kost Pria
313,Takoradi,GH,79.65,overcast clouds,4.8845,-1.7554,Raybow International Hotel
315,Blythe,US,80.6,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
317,Matara,LK,85.37,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
320,Katsuura,JP,75.0,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
321,Fare,PF,82.49,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
323,Mitsamiouli,KM,78.8,broken clouds,-11.3847,43.2844,Foyer ADM
324,Kavaratti,IN,84.24,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
326,Carnarvon,AU,79.16,clear sky,-24.8667,113.6333,Hospitality Carnarvon
329,Bengkulu,ID,83.66,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
331,Arlit,NE,84.13,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
335,Oranjestad,AW,80.6,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
336,Bandarbeyla,SO,82.18,overcast clouds,9.4942,50.8122,JABIR HOTEL
337,Aden,YE,81.41,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
343,Padang,ID,87.8,few clouds,-0.9492,100.3543,Mercure Padang
348,Puerto Escondido,MX,78.57,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
350,Sri Aman,MY,87.8,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
352,Cap Malheureux,MU,82.0,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
354,Acapulco,MX,76.5,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
356,Abu Dhabi,AE,77.0,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
359,Yulara,AU,77.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
360,Puerto Barrios,GT,77.0,clear sky,15.7167,-88.6,Hotel El Castillo
361,Dharur,IN,88.95,clear sky,18.8167,76.1167,Hotel Rajmahal
364,Tagusao,PH,84.83,overcast clouds,9.1924,117.8141,Toledo
